timestamp,system_memory_total_mb,system_memory_used_mb,system_memory_percent,system_memory_available_mb,swap_total_mb,swap_used_mb,swap_percent,sharewarez_processes_count,sharewarez_total_rss_mb,sharewarez_total_vms_mb,process_details
2025-09-06 13:16:34,64224.31,24615.11,40.6,38148.33,4096.0,3922.98,95.8,21,921.0,6596.65,PID2554145(uvicorn):27.06 MB; PID2554146(python3):12.07 MB; PID2554147(python3):244.05 MB; PID2554148(python3):85.46 MB; PID2554149(python3):88.25 MB; PID2554150(python3):87.97 MB; PID2554161(postgres):20.96 MB; PID2554162(postgres):27.52 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):27.77 MB; PID2554769(postgres):25.08 MB; PID2554770(postgres):27.43 MB; PID2555089(postgres):26.49 MB; PID2555090(postgres):24.90 MB; PID2555092(postgres):27.05 MB; PID2555094(postgres):24.66 MB; PID2555095(postgres):27.87 MB; PID2555164(postgres):19.54 MB; PID2555165(postgres):20.32 MB; PID2555192(postgres):27.04 MB; PID2555575(postgres):23.11 MB
2025-09-06 13:16:39,64224.31,26459.03,43.4,36341.98,4096.0,3986.2,97.3,21,929.99,6604.99,PID2554145(uvicorn):27.06 MB; PID2554146(python3):12.07 MB; PID2554147(python3):250.61 MB; PID2554148(python3):85.46 MB; PID2554149(python3):88.25 MB; PID2554150(python3):87.97 MB; PID2554161(postgres):20.96 MB; PID2554162(postgres):27.52 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):27.77 MB; PID2554769(postgres):25.08 MB; PID2554770(postgres):27.43 MB; PID2555089(postgres):26.49 MB; PID2555090(postgres):26.90 MB; PID2555092(postgres):27.05 MB; PID2555094(postgres):24.66 MB; PID2555095(postgres):27.87 MB; PID2555164(postgres):19.54 MB; PID2555165(postgres):20.32 MB; PID2555192(postgres):27.04 MB; PID2555575(postgres):23.55 MB
2025-09-06 13:16:44,64224.31,29585.5,48.3,33223.81,4096.0,4010.51,97.9,21,933.21,6685.04,PID2554145(uvicorn):27.06 MB; PID2554146(python3):12.07 MB; PID2554147(python3):253.05 MB; PID2554148(python3):85.46 MB; PID2554149(python3):88.25 MB; PID2554150(python3):87.97 MB; PID2554161(postgres):20.96 MB; PID2554162(postgres):27.52 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):27.77 MB; PID2554769(postgres):25.08 MB; PID2554770(postgres):27.43 MB; PID2555089(postgres):26.49 MB; PID2555090(postgres):27.10 MB; PID2555092(postgres):27.05 MB; PID2555094(postgres):24.66 MB; PID2555095(postgres):28.26 MB; PID2555164(postgres):19.54 MB; PID2555165(postgres):20.32 MB; PID2555192(postgres):27.23 MB; PID2555575(postgres):23.55 MB
2025-09-06 13:16:49,64224.31,32353.86,52.6,30456.09,4096.0,4017.29,98.1,21,941.13,7029.15,PID2554145(uvicorn):27.06 MB; PID2554146(python3):12.07 MB; PID2554147(python3):259.61 MB; PID2554148(python3):85.46 MB; PID2554149(python3):88.25 MB; PID2554150(python3):87.97 MB; PID2554161(postgres):20.96 MB; PID2554162(postgres):27.52 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):27.77 MB; PID2554769(postgres):25.08 MB; PID2554770(postgres):27.43 MB; PID2555089(postgres):26.49 MB; PID2555090(postgres):27.48 MB; PID2555092(postgres):27.23 MB; PID2555094(postgres):25.45 MB; PID2555095(postgres):28.26 MB; PID2555164(postgres):19.54 MB; PID2555165(postgres):20.32 MB; PID2555192(postgres):27.23 MB; PID2555575(postgres):23.55 MB
2025-09-06 13:16:54,64224.31,34976.91,56.7,27836.55,4096.0,4035.7,98.5,21,967.29,7277.6,PID2554145(uvicorn):27.06 MB; PID2554146(python3):12.07 MB; PID2554147(python3):282.86 MB; PID2554148(python3):85.46 MB; PID2554149(python3):88.25 MB; PID2554150(python3):87.97 MB; PID2554161(postgres):20.96 MB; PID2554162(postgres):27.52 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):27.77 MB; PID2554769(postgres):25.08 MB; PID2554770(postgres):27.80 MB; PID2555089(postgres):26.49 MB; PID2555090(postgres):27.48 MB; PID2555092(postgres):27.23 MB; PID2555094(postgres):25.87 MB; PID2555095(postgres):28.26 MB; PID2555164(postgres):19.54 MB; PID2555165(postgres):20.32 MB; PID2555192(postgres):27.41 MB; PID2555575(postgres):25.47 MB
2025-09-06 13:16:59,64224.31,37989.11,61.3,24825.8,4096.0,4041.54,98.7,20,956.03,7678.92,PID2554145(uvicorn):27.06 MB; PID2554146(python3):12.07 MB; PID2554147(python3):297.67 MB; PID2554148(python3):85.46 MB; PID2554149(python3):88.25 MB; PID2554150(python3):87.97 MB; PID2554161(postgres):20.96 MB; PID2554162(postgres):27.52 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):27.97 MB; PID2554769(postgres):25.08 MB; PID2554770(postgres):27.80 MB; PID2555090(postgres):27.48 MB; PID2555092(postgres):27.45 MB; PID2555094(postgres):25.87 MB; PID2555095(postgres):28.26 MB; PID2555164(postgres):19.54 MB; PID2555165(postgres):20.32 MB; PID2555192(postgres):27.41 MB; PID2555575(postgres):25.47 MB
2025-09-06 13:17:04,64224.31,41095.25,66.0,21855.35,4096.0,4047.51,98.8,20,961.15,7678.93,PID2554145(uvicorn):27.06 MB; PID2554146(python3):12.07 MB; PID2554147(python3):302.36 MB; PID2554148(python3):85.46 MB; PID2554149(python3):88.25 MB; PID2554150(python3):87.97 MB; PID2554161(postgres):20.96 MB; PID2554162(postgres):27.52 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):28.16 MB; PID2554769(postgres):25.08 MB; PID2554770(postgres):27.80 MB; PID2555090(postgres):27.48 MB; PID2555092(postgres):27.45 MB; PID2555094(postgres):26.11 MB; PID2555095(postgres):28.26 MB; PID2555164(postgres):19.54 MB; PID2555165(postgres):20.32 MB; PID2555192(postgres):27.41 MB; PID2555575(postgres):25.47 MB
2025-09-06 13:17:09,64224.31,43092.25,69.3,19723.37,4096.0,4075.99,99.5,20,955.94,7686.94,PID2554145(uvicorn):14.69 MB; PID2554146(python3):10.00 MB; PID2554147(python3):322.42 MB; PID2554148(python3):82.46 MB; PID2554149(python3):82.81 MB; PID2554150(python3):85.16 MB; PID2554161(postgres):20.96 MB; PID2554162(postgres):27.52 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):28.16 MB; PID2554769(postgres):25.08 MB; PID2554770(postgres):27.80 MB; PID2555090(postgres):27.48 MB; PID2555092(postgres):27.45 MB; PID2555094(postgres):26.52 MB; PID2555095(postgres):28.26 MB; PID2555164(postgres):19.54 MB; PID2555165(postgres):20.32 MB; PID2555192(postgres):27.41 MB; PID2555575(postgres):25.47 MB
2025-09-06 13:17:14,64224.31,45703.94,73.4,17112.41,4096.0,4075.18,99.5,20,957.81,7686.94,PID2554145(uvicorn):14.69 MB; PID2554146(python3):10.00 MB; PID2554147(python3):323.92 MB; PID2554148(python3):82.46 MB; PID2554149(python3):82.81 MB; PID2554150(python3):85.34 MB; PID2554161(postgres):20.96 MB; PID2554162(postgres):27.52 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):28.16 MB; PID2554769(postgres):25.08 MB; PID2554770(postgres):27.99 MB; PID2555090(postgres):27.48 MB; PID2555092(postgres):27.45 MB; PID2555094(postgres):26.52 MB; PID2555095(postgres):28.26 MB; PID2555164(postgres):19.54 MB; PID2555165(postgres):20.32 MB; PID2555192(postgres):27.41 MB; PID2555575(postgres):25.47 MB
2025-09-06 13:17:19,64224.31,47544.89,76.3,15240.14,4096.0,4077.89,99.6,20,965.63,7687.06,PID2554145(uvicorn):14.69 MB; PID2554146(python3):10.00 MB; PID2554147(python3):329.36 MB; PID2554148(python3):82.46 MB; PID2554149(python3):82.81 MB; PID2554150(python3):85.34 MB; PID2554161(postgres):20.96 MB; PID2554162(postgres):27.52 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):28.16 MB; PID2554769(postgres):26.86 MB; PID2554770(postgres):27.99 MB; PID2555090(postgres):27.48 MB; PID2555092(postgres):27.45 MB; PID2555094(postgres):26.92 MB; PID2555095(postgres):28.46 MB; PID2555164(postgres):19.54 MB; PID2555165(postgres):20.32 MB; PID2555192(postgres):27.41 MB; PID2555575(postgres):25.47 MB
2025-09-06 13:17:24,64224.31,44586.1,70.8,18783.82,4096.0,4096.0,100.0,20,963.76,7687.06,PID2554145(uvicorn):14.31 MB; PID2554146(python3):9.82 MB; PID2554147(python3):328.98 MB; PID2554148(python3):82.09 MB; PID2554149(python3):82.25 MB; PID2554150(python3):85.16 MB; PID2554161(postgres):20.96 MB; PID2554162(postgres):27.52 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):28.16 MB; PID2554769(postgres):26.86 MB; PID2554770(postgres):27.99 MB; PID2555090(postgres):27.48 MB; PID2555092(postgres):27.64 MB; PID2555094(postgres):26.92 MB; PID2555095(postgres):28.46 MB; PID2555164(postgres):19.54 MB; PID2555165(postgres):20.32 MB; PID2555192(postgres):27.41 MB; PID2555575(postgres):25.47 MB
2025-09-06 13:17:30,64224.31,44945.71,72.2,17841.23,4096.0,4095.51,100.0,20,965.07,7687.17,PID2554145(uvicorn):14.31 MB; PID2554146(python3):9.82 MB; PID2554147(python3):330.11 MB; PID2554148(python3):82.28 MB; PID2554149(python3):82.25 MB; PID2554150(python3):85.16 MB; PID2554161(postgres):20.96 MB; PID2554162(postgres):27.52 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):28.16 MB; PID2554769(postgres):26.86 MB; PID2554770(postgres):27.99 MB; PID2555090(postgres):27.48 MB; PID2555092(postgres):27.64 MB; PID2555094(postgres):26.92 MB; PID2555095(postgres):28.46 MB; PID2555164(postgres):19.54 MB; PID2555165(postgres):20.32 MB; PID2555192(postgres):27.41 MB; PID2555575(postgres):25.47 MB
2025-09-06 13:17:35,64224.31,44980.37,72.3,17807.17,4096.0,4091.93,99.9,20,976.66,7759.22,PID2554145(uvicorn):14.31 MB; PID2554146(python3):9.82 MB; PID2554147(python3):335.73 MB; PID2554148(python3):82.28 MB; PID2554149(python3):82.25 MB; PID2554150(python3):89.22 MB; PID2554161(postgres):20.96 MB; PID2554162(postgres):27.52 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):28.16 MB; PID2554769(postgres):27.27 MB; PID2554770(postgres):28.22 MB; PID2555090(postgres):27.48 MB; PID2555092(postgres):27.86 MB; PID2555094(postgres):26.92 MB; PID2555095(postgres):28.46 MB; PID2555164(postgres):19.54 MB; PID2555165(postgres):20.32 MB; PID2555192(postgres):28.03 MB; PID2555575(postgres):25.89 MB
2025-09-06 13:17:40,64224.31,43766.45,70.3,19051.76,4096.0,4095.48,100.0,20,977.48,7759.19,PID2554145(uvicorn):14.31 MB; PID2554146(python3):9.82 MB; PID2554147(python3):335.73 MB; PID2554148(python3):82.28 MB; PID2554149(python3):82.25 MB; PID2554150(python3):89.22 MB; PID2554161(postgres):20.96 MB; PID2554162(postgres):27.52 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):28.35 MB; PID2554769(postgres):27.27 MB; PID2554770(postgres):28.22 MB; PID2555090(postgres):27.48 MB; PID2555092(postgres):28.05 MB; PID2555094(postgres):27.14 MB; PID2555095(postgres):28.46 MB; PID2555164(postgres):19.54 MB; PID2555165(postgres):20.32 MB; PID2555192(postgres):28.03 MB; PID2555575(postgres):26.11 MB
2025-09-06 13:17:45,64224.31,43854.69,70.5,18951.3,4096.0,4095.45,100.0,19,949.84,7535.76,PID2554145(uvicorn):14.31 MB; PID2554146(python3):9.82 MB; PID2554147(python3):335.73 MB; PID2554148(python3):82.28 MB; PID2554149(python3):82.25 MB; PID2554150(python3):89.22 MB; PID2554161(postgres):20.96 MB; PID2554162(postgres):27.52 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):28.35 MB; PID2554769(postgres):27.47 MB; PID2555090(postgres):27.68 MB; PID2555092(postgres):28.05 MB; PID2555094(postgres):27.14 MB; PID2555095(postgres):28.46 MB; PID2555164(postgres):19.54 MB; PID2555165(postgres):20.32 MB; PID2555192(postgres):28.03 MB; PID2555575(postgres):26.29 MB
2025-09-06 13:17:50,64224.31,43876.24,70.5,18930.72,4096.0,4095.39,100.0,20,972.74,7758.93,PID2554145(uvicorn):14.31 MB; PID2554146(python3):9.82 MB; PID2554147(python3):335.73 MB; PID2554148(python3):82.28 MB; PID2554149(python3):82.25 MB; PID2554150(python3):89.22 MB; PID2554161(postgres):20.96 MB; PID2554162(postgres):27.52 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):28.55 MB; PID2554769(postgres):27.47 MB; PID2555090(postgres):27.68 MB; PID2555092(postgres):28.29 MB; PID2555094(postgres):27.14 MB; PID2555095(postgres):28.46 MB; PID2555164(postgres):19.54 MB; PID2555165(postgres):20.32 MB; PID2555192(postgres):28.03 MB; PID2555575(postgres):26.48 MB; PID2556561(postgres):22.29 MB
2025-09-06 13:17:55,64224.31,42727.32,68.7,20090.66,4096.0,4095.76,100.0,20,978.86,7758.93,PID2554145(uvicorn):14.31 MB; PID2554146(python3):9.82 MB; PID2554147(python3):341.55 MB; PID2554148(python3):82.28 MB; PID2554149(python3):82.25 MB; PID2554150(python3):89.22 MB; PID2554161(postgres):20.77 MB; PID2554162(postgres):27.52 MB; PID2554450(postgres):26.41 MB; PID2554461(postgres):28.55 MB; PID2554769(postgres):27.47 MB; PID2555090(postgres):27.68 MB; PID2555092(postgres):28.29 MB; PID2555094(postgres):27.14 MB; PID2555095(postgres):28.46 MB; PID2555164(postgres):19.54 MB; PID2555165(postgres):20.32 MB; PID2555192(postgres):28.03 MB; PID2555575(postgres):26.48 MB; PID2556561(postgres):22.77 MB
